 2020-01-05 19:46:52 INFO: initializing ciphers... rc4-md5
 2020-01-05 19:46:52 INFO: tcp server listening at 127.0.0.1:50800
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
 2020-01-05 19:46:52 INFO: accept a connection
