frame_num;frame_epoch_time;ip_src;tcp_srcport;ip_ttl;ip_id;DF;tcp_tsval;tcp_seq;tcp_flags;tcp_stream;payload_len
9649;1569129433.813675;125.84.179.132;16346;52;0x0000cf1e;1;910068248.0;4285089030;0x00000002;326;0
106768;1569132312.9643228;58.248.202.115;42070;53;0x00001d56;1;1199774105.0;2017199311;0x00000002;1771;0
108424;1569132328.118458;58.248.202.115;49954;53;0x0000e24e;1;1199777894.0;2913323560;0x00000002;1812;0
108439;1569132328.249858;58.248.202.115;50028;53;0x00000340;1;1199777926.0;2178362310;0x00000002;1813;0
214791;1569133371.3654141;116.252.1.246;33694;52;0x000077e2;1;1200038635.0;1316705545;0x00000002;3600;0
214851;1569133371.581738;182.138.137.38;52054;53;0x0000a43e;1;1200031778.0;1774824476;0x00000002;3601;0
214899;1569133371.8286269;182.138.137.38;52168;53;0x0000e40e;1;1200031839.0;50392145;0x00000002;3602;0
214935;1569133372.0774438;182.138.137.38;52252;53;0x00007b9d;1;1200031901.0;506753792;0x00000002;3603;0
351570;1569134333.38585;121.57.227.137;40048;53;0x0000450a;1;1200272239.0;447673957;0x00000002;5337;0
351576;1569134333.541069;221.11.20.164;52916;53;0x0000154e;1;1200279216.0;3850034174;0x00000002;5338;0
360852;1569134355.252147;221.11.20.164;32796;53;0x0000c1df;1;1200284644.0;2243568187;0x00000002;5450;0
360882;1569134355.344278;221.11.20.164;32866;52;0x00004e80;1;1200284667.0;2714938747;0x00000002;5451;0
23101;1569135061.743857;58.248.202.52;48334;53;0x00009f47;1;1200461112.0;3604875903;0x00000002;389;0
23107;1569135061.9345129;124.160.236.54;50316;53;0x0000550c;1;1200452535.0;268052155;0x00000002;390;0
23113;1569135062.109124;124.160.236.54;50406;53;0x0000eb20;1;1200452580.0;3924269252;0x00000002;391;0
23119;1569135062.2717388;124.160.236.54;50498;53;0x0000d4dc;1;1200452622.0;2974654674;0x00000002;392;0
32920;1569135132.1942692;113.128.104.24;40674;53;0x0000fff8;1;1200470109.0;1760053157;0x00000002;515;0
33365;1569135133.2825902;36.32.3.121;57780;52;0x000093d1;1;1200478999.0;2119059917;0x00000002;523;0
33393;1569135133.4179308;36.32.3.121;58386;51;0x0000f554;1;1200479032.0;220409452;0x00000002;524;0
33431;1569135133.551432;36.32.3.121;58462;52;0x0000e498;1;1200479067.0;3183165379;0x00000002;526;0
216640;1569136634.985993;218.63.139.251;36420;52;0x0000b301;1;3226114826.0;4059965451;0x00000002;3377;0
217211;1569136647.081586;175.184.164.161;52220;53;0x0000c51d;1;1200857586.0;2135319791;0x00000002;3385;0
