host,asn,asname,cc,registry
119.39.47.252,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.90.55.186,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
121.57.228.154,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
111.224.7.120,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
111.224.248.67,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
60.13.6.117,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
27.224.136.46,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.213.75.158,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
114.221.125.37,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
58.248.203.147,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
113.58.243.206,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.213.75.184,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
60.13.6.75,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
223.166.75.87,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
60.177.181.162,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.80.136.169,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.128.105.141,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.4.217.19,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
101.249.56.88,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.128.105.100,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.232.227.152,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
223.166.75.66,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
117.15.91.14,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
150.255.9.246,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
27.224.136.4,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
1.80.1.81,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
223.166.75.254,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
124.235.138.161,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.117.17.85,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.13.12.182,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.250.62.152,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.213.75.241,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
119.39.46.249,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
1.202.114.95,AS4847,"CNIX-AP China Networks Inter-Exchange, CN",CN,apnic
36.248.88.109,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.200.162.111,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.34.177.93,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
121.57.224.138,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.184.166.186,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
223.166.75.47,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
123.145.5.187,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.94.140.113,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
223.166.75.190,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
182.138.137.253,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.184.164.186,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.116.44.43,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
122.96.29.49,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.128.104.86,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.160.175.119,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
119.39.46.233,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.90.51.150,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
116.252.0.200,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.191.137.71,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
118.81.3.79,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.225.43.67,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
220.250.62.110,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
211.97.20.183,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
123.160.174.8,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
36.32.3.228,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
58.248.202.15,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
175.152.109.185,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
150.255.85.118,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
